# Constructed from biom file
#OTU ID	SRR8497508	SRR8497512	SRR8497516	SRR8497518	SRR8497527	SRR8497528	SRR8497529	SRR8497531	SRR8497532	SRR8497533	SRR8497534	SRR8497535
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	444.0	0.0	0.0	37.0	225.0	0.0	77.0	21.0	0.0	9825.0	356.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__uncultured	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	217.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	3297.0	182.0	29.0	7832.0	299.0	353.0	565.0	127.0	264.0	18388.0	809.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	209.0	0.0	0.0	127709.0	11366.0	1179.0	0.0	1472.0	177.0	101.0	57.0	113.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	20.0	0.0	0.0	41.0	0.0	0.0	15.0	0.0	0.0	627.0	93.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.0	21.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus	0.0	0.0	0.0	49.0	199.0	0.0	0.0	0.0	1547.0	0.0	0.0	379.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	48.0	93.0	0.0	82.0	72.0	0.0	18.0	0.0	62.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;__;__;__	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	429.0
