# Constructed from biom file
#OTU ID	SRR22800265	SRR22800276	SRR22800300	SRR22800324	SRR22800335	SRR22800345	SRR22800353	SRR22800448	SRR22800511	SRR22800525	SRR22800538	SRR22800542	SRR22800563	SRR22800570	SRR22800571	SRR22800572	SRR22800573	SRR22800581	SRR22800582	SRR22800586	SRR22800593	SRR22800595	SRR22800596	SRR22800604	SRR22800720	SRR22800721	SRR22800729	SRR22800730	SRR22800742	SRR22800757	SRR22800761	SRR22800767	SRR22800770	SRR22800772	SRR22800782	SRR22800784	SRR22800788	SRR22800789	SRR22800791	SRR22800794	SRR22800798	SRR22800805	SRR22800836	SRR22800842	SRR22800849	SRR22800867
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	6.0	70.0	0.0	0.0	33.0	17.0	0.0	0.0	0.0	424.0	21.0	269.0	0.0	0.0	124.0	285.0	314.0	0.0	32.0	10.0	28.0	8.0	352.0	99.0	0.0	0.0	0.0	0.0	0.0	74.0	136.0	93.0	62.0	103.0	104.0	695.0	0.0	19.0	0.0	13.0	0.0	110.0	0.0	42.0	415.0	4.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	11.0	442.0	1985.0	0.0	144.0	170.0	0.0	0.0	86.0	531.0	42.0	1594.0	0.0	64.0	632.0	649.0	1247.0	0.0	193.0	2467.0	1019.0	134.0	287.0	32.0	0.0	52.0	0.0	8.0	0.0	176.0	211.0	271.0	656.0	459.0	1351.0	692.0	0.0	1792.0	0.0	1018.0	0.0	204.0	0.0	348.0	762.0	2250.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	38.0	10.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus	996.0	1467.0	3848.0	0.0	15.0	143.0	0.0	702.0	656.0	2261.0	931.0	78.0	862.0	11.0	20.0	1265.0	3031.0	1448.0	2610.0	670.0	1104.0	4256.0	530.0	741.0	99.0	458.0	374.0	594.0	11.0	10.0	564.0	454.0	129.0	1496.0	0.0	225.0	0.0	1382.0	352.0	541.0	0.0	928.0	0.0	2627.0	507.0	1085.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	5.0	27.0	0.0	0.0	31.0	16.0	0.0	0.0	0.0	39.0	11.0	617.0	0.0	25.0	8.0	0.0	82.0	0.0	0.0	16.0	76.0	10.0	74.0	25.0	0.0	19.0	0.0	0.0	0.0	11.0	208.0	102.0	49.0	49.0	0.0	10.0	0.0	38.0	0.0	0.0	0.0	97.0	0.0	26.0	421.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Spirosoma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Altererythrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	0.0	8.0	27.0	0.0	0.0	0.0	0.0	79.0	0.0	22.0	0.0	195.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	458.0	5.0	38.0	16.0	6.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	40.0	5.0	0.0	142.0	207.0	0.0	9.0	0.0	197.0	0.0	13.0	0.0	3.0	163.0	1284.0
