# Constructed from biom file
#OTU ID	ERR2850005	ERR2850006	ERR2850008	ERR2850009	ERR2850010	ERR2850013	ERR2850014	ERR2850015	ERR2850016	ERR2850017	ERR2850019	ERR2850020	ERR2850021	ERR2850022	ERR2850023	ERR2850024	ERR2850025	ERR2850026	ERR2850030	ERR2850031	ERR2850032	ERR2850035	ERR2850036	ERR2850037	ERR2850038	ERR2850039	ERR2850040	ERR2850041	ERR2850043	ERR2850044	ERR2850046	ERR2850047	ERR2850048	ERR2850049	ERR2850051	ERR2850052	ERR2850054	ERR2850058	ERR2850059	ERR2850060
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7a	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2457.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Cardiobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Simonsiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	4703.0	11697.0	2142.0	34966.0	536.0	6725.0	1284.0	231.0	199.0	1114.0	39.0	1875.0	186.0	732.0	418.0	3444.0	0.0	1052.0	15790.0	116.0	457.0	349.0	200.0	333590.0	9494.0	190.0	1197.0	21451.0	6861.0	22361.0	370.0	48.0	7961.0	148.0	159.0	12.0	0.0	5049.0	9949.0	135.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	7.0	23.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	599.0	0.0	14.0	0.0	0.0	0.0	40.0	0.0	0.0	6.0	0.0	75.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Streptobacillus	0.0	0.0	0.0	10.0	5.0	0.0	0.0	0.0	0.0	8.0	0.0	8.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	675.0	0.0	0.0	0.0	4.0	238.0	0.0	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales;f__Cardiobacteriaceae;g__Suttonella	0.0	0.0	12937.0	0.0	0.0	7763.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	2.0	1533.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	0.0	6.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	4.0	0.0	30.0	0.0	9.0	30.0	0.0	0.0	0.0	579.0	0.0	0.0	5.0	9.0	991.0	0.0	0.0	11.0	0.0	9.0	0.0	0.0	0.0	9.0	3.0	0.0	0.0	0.0	13.0	0.0	9.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
