# Constructed from biom file
#OTU ID	SRR22800265	SRR22800276	SRR22800300	SRR22800324	SRR22800335	SRR22800345	SRR22800353	SRR22800448	SRR22800511	SRR22800525	SRR22800538	SRR22800542	SRR22800563	SRR22800570	SRR22800571	SRR22800572	SRR22800573	SRR22800581	SRR22800582	SRR22800586	SRR22800593	SRR22800595	SRR22800596	SRR22800604	SRR22800720	SRR22800721	SRR22800729	SRR22800730	SRR22800742	SRR22800757	SRR22800761	SRR22800767	SRR22800770	SRR22800772	SRR22800782	SRR22800784	SRR22800788	SRR22800789	SRR22800791	SRR22800794	SRR22800798	SRR22800805	SRR22800836	SRR22800842	SRR22800849	SRR22800867
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella	195.0	0.0	140.0	0.0	6.0	486.0	0.0	0.0	0.0	456.0	5.0	381.0	297.0	946.0	962.0	130.0	610.0	0.0	1267.0	501.0	1596.0	720.0	0.0	593.0	801.0	1143.0	0.0	2.0	103.0	583.0	80.0	893.0	13.0	59.0	0.0	51.0	0.0	63.0	0.0	1285.0	0.0	1136.0	0.0	828.0	515.0	208.0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__uncultured;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	5.0	39.0	0.0	0.0	16.0	16.0	0.0	0.0	0.0	184.0	9.0	156.0	0.0	0.0	53.0	77.0	116.0	0.0	8.0	4.0	10.0	5.0	145.0	64.0	0.0	0.0	0.0	0.0	0.0	56.0	75.0	50.0	32.0	50.0	23.0	430.0	0.0	8.0	0.0	10.0	0.0	45.0	0.0	18.0	206.0	2.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	11.0	241.0	1071.0	0.0	74.0	144.0	0.0	0.0	57.0	214.0	27.0	945.0	0.0	11.0	249.0	183.0	447.0	0.0	46.0	1168.0	517.0	71.0	119.0	17.0	0.0	28.0	0.0	6.0	0.0	132.0	121.0	151.0	349.0	184.0	342.0	468.0	0.0	925.0	0.0	869.0	0.0	101.0	0.0	166.0	359.0	1245.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	16.0	4.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus	908.0	769.0	2086.0	0.0	9.0	126.0	0.0	339.0	370.0	943.0	438.0	54.0	224.0	0.0	5.0	393.0	1089.0	1150.0	763.0	308.0	527.0	2282.0	239.0	506.0	27.0	185.0	155.0	276.0	8.0	8.0	350.0	236.0	71.0	591.0	0.0	156.0	0.0	692.0	147.0	471.0	0.0	448.0	0.0	1228.0	250.0	604.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	4.0	12.0	0.0	0.0	18.0	14.0	0.0	0.0	0.0	12.0	3.0	358.0	0.0	6.0	5.0	0.0	31.0	0.0	0.0	4.0	28.0	6.0	39.0	19.0	0.0	7.0	0.0	0.0	0.0	7.0	118.0	51.0	27.0	21.0	0.0	8.0	0.0	16.0	0.0	0.0	0.0	47.0	0.0	12.0	194.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
