# Constructed from biom file
#OTU ID	ERR2206632	ERR2206633	ERR2206636	ERR2206637	ERR2206638	ERR2206639	ERR2206640	ERR2206642	ERR2206644	ERR2206645	ERR2206646	ERR2206647	ERR2206648	ERR2206649	ERR2206650	ERR2206651	ERR2206652	ERR2206653	ERR2206668	ERR2206669	ERR2206670	ERR2206671	ERR2206672
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Nomurabacteria;f__Candidatus_Nomurabacteria;g__Candidatus_Nomurabacteria	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	560.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella	307.0	316.0	660.0	483.0	507.0	237.0	1065.0	243.0	838.0	505.0	187.0	0.0	72.0	148.0	330.0	0.0	0.0	0.0	0.0	1374.0	500.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	1402.0	322.0	1413.0	1012.0	1174.0	950.0	2797.0	753.0	1525.0	786.0	1231.0	2257.0	1530.0	547.0	351.0	762.0	0.0	0.0	0.0	117.0	0.0	339.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	724.0	0.0	0.0	0.0	218.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.0	0.0	158.0	0.0	0.0	0.0	0.0	0.0	617.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	269.0	0.0	90.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Neptunomonas	0.0	525.0	0.0	0.0	327.0	519.0	711.0	0.0	0.0	0.0	0.0	341.0	0.0	113.0	300.0	198.0	0.0	356.0	262.0	1756.0	586.0	0.0	259.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio	2506.0	1081.0	2995.0	277.0	1689.0	1297.0	2792.0	2260.0	1055.0	1921.0	2619.0	3067.0	1611.0	1425.0	1356.0	609.0	909.0	153.0	4130.0	4274.0	3279.0	1018.0	1518.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	531.0	201.0	383.0	1211.0	565.0	351.0	231.0	892.0	927.0	267.0	659.0	0.0	29.0	127.0	101.0	787.0	286.0	99.0	1474.0	2468.0	208.0	370.0	125.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;__	0.0	0.0	0.0	596.0	0.0	394.0	0.0	65.0	15.0	60.0	0.0	0.0	978.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	19393.0	9687.0	26876.0	17783.0	20854.0	8907.0	32177.0	15479.0	24930.0	26869.0	15094.0	18195.0	21343.0	8278.0	10328.0	9540.0	502.0	1152.0	9336.0	5666.0	7721.0	4088.0	1478.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	0.0	344.0	1429.0	826.0	155.0	451.0	0.0	1080.0	1335.0	1445.0	1546.0	1538.0	2353.0	521.0	1128.0	386.0	4.0	293.0	0.0	0.0	616.0	1483.0	2066.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas	0.0	0.0	0.0	1985.0	0.0	0.0	1091.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	203.0	0.0	706.0	0.0	522.0	0.0	635.0	741.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;__;__	0.0	0.0	261.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	557.0	0.0	0.0	214.0	600.0	0.0	0.0	974.0	1395.0	0.0
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales	242.0	0.0	0.0	1073.0	0.0	285.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	325.0	0.0	0.0	0.0	1403.0	0.0	0.0	289.0
