# Constructed from biom file
#OTU ID	ERR1662646	ERR1662647	ERR1662648	ERR1662649	ERR1662651	ERR1662655	ERR1662656	ERR1662657	ERR1662659	ERR1662661	ERR1662663	ERR1662664	ERR1662665	ERR1662669	ERR1662672	ERR1662673	ERR1662675	ERR1662678	ERR1662679	ERR1662682	ERR1662683	ERR1662684	ERR1662685	ERR1662689	ERR1662690	ERR1662732	ERR1662735	ERR1662741
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	6142.0	0.0	0.0	27281.0	9492.0	30368.0	6479.0	10078.0	25153.0	8276.0	5698.0	6590.0	15399.0	10083.0	12397.0	3881.0	9989.0	4454.0	2411.0	8427.0	7032.0	6586.0	22920.0	20709.0	13963.0	0.0	0.0	8663.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	1643.0	1010.0	0.0	19438.0	5825.0	16686.0	9391.0	3147.0	16765.0	20174.0	13442.0	13887.0	14397.0	2252.0	12250.0	11573.0	9731.0	4040.0	3598.0	7655.0	2915.0	4370.0	36472.0	10329.0	1694.0	17463.0	4343.0	20700.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Dietziaceae;g__Dietzia	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella	243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	0.0	0.0	0.0	27.0	0.0	883.0	0.0	0.0	334.0	133.0	0.0	17.0	133.0	44.0	312.0	239.0	0.0	0.0	807.0	0.0	35.0	3.0	0.0	0.0	28.0	503.0	576.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Alysiella	0.0	0.0	0.0	23.0	31.0	0.0	26.0	172.0	41.0	0.0	22.0	0.0	32.0	0.0	0.0	124.0	0.0	0.0	135.0	0.0	44.0	0.0	103.0	118.0	0.0	0.0	0.0	118.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	118.0	439.0	0.0	0.0	55.0	449.0	18.0	0.0	38.0	0.0	0.0	0.0	23.0	9.0	6.0	0.0	0.0	0.0	146.0	19.0	33.0	0.0	281.0	59.0	216.0	82.0	0.0	18.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	0.0	0.0	0.0	17.0	9.0	188.0	11.0	50.0	85.0	8.0	11.0	0.0	19.0	0.0	278.0	80.0	39.0	0.0	15.0	20.0	0.0	16.0	0.0	8.0	17.0	26.0	28.0	27.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	118.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_saphenum_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	219.0	0.0	192.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis	516.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella	481.0	0.0	0.0	15.0	0.0	504.0	878.0	23.0	166.0	117.0	161.0	140.0	109.0	11.0	97.0	25.0	183.0	0.0	692.0	53.0	22.0	15.0	25686.0	44.0	6.0	102.0	244.0	57.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;__	227.0	0.0	0.0	0.0	48.0	142.0	51.0	0.0	115.0	21.0	0.0	0.0	236.0	0.0	393.0	0.0	155.0	0.0	85.0	30.0	0.0	0.0	942.0	368.0	45.0	0.0	257.0	0.0
d__Bacteria;p__Entotheonellaeota;c__Entotheonellia;o__Entotheonellales;f__Entotheonellaceae;g__Entotheonellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0
