# Constructed from biom file
#OTU ID	SRR17082925	SRR17082926	SRR17082928	SRR17082929	SRR17082930	SRR17082931	SRR17082932	SRR17082933	SRR17082934	SRR17082935	SRR17082936	SRR17082937	SRR17082938	SRR17082939	SRR17082940	SRR17082941	SRR17082942	SRR17082943	SRR17082944	SRR17082945	SRR17082946	SRR17082947	SRR17082948	SRR17082949	SRR17082950	SRR17082951	SRR17082952	SRR17082953	SRR17082954	SRR17082955	SRR17082957	SRR17082958	SRR17082960	SRR17082961	SRR17082962	SRR17082963	SRR17082964	SRR17082965	SRR17082966	SRR17082967	SRR17082968	SRR17082970	SRR17082971	SRR17082972	SRR17082973	SRR17082974	SRR17082975	SRR17082976	SRR17082977	SRR17082978	SRR17082979	SRR17082980	SRR17082981	SRR17082982	SRR17082983	SRR17082984	SRR17082985	SRR17082986	SRR17082987	SRR17082988	SRR17082989	SRR17082990	SRR17082991	SRR17082992	SRR17082993	SRR17082994	SRR17082995	SRR17082996	SRR17082997	SRR17082998	SRR17082999	SRR17083000	SRR17083001	SRR17083002	SRR17083003	SRR17083004	SRR17083005	SRR17083006	SRR17083007	SRR17083008	SRR17083009	SRR17083011	SRR17083012	SRR17083013	SRR17083014	SRR17083015	SRR17083017	SRR17083018	SRR17083019	SRR17083020	SRR17083021	SRR17083022	SRR17083023	SRR17083024	SRR17083025	SRR17083026	SRR17083027	SRR17083028	SRR17083029	SRR17083030	SRR17083031	SRR17083032	SRR17083033	SRR17083034	SRR17083035	SRR17083036	SRR17083037	SRR17083038	SRR17083039	SRR17083040	SRR17083041	SRR17083042	SRR17083043	SRR17083044	SRR17083045
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__DEV007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	27.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	3730.0	1624.0	225.0	4981.0	5678.0	4143.0	2544.0	982.0	6401.0	369.0	9184.0	8733.0	2172.0	5117.0	1542.0	1207.0	6290.0	13.0	5877.0	6551.0	6248.0	1148.0	7554.0	2680.0	5099.0	1193.0	1372.0	3813.0	7916.0	4303.0	8177.0	765.0	523.0	6720.0	6602.0	5374.0	7757.0	4714.0	8382.0	352.0	9016.0	6003.0	235.0	3762.0	3303.0	3123.0	3003.0	1713.0	210.0	9.0	2792.0	4209.0	142.0	761.0	7665.0	247.0	4681.0	119.0	6466.0	3074.0	6301.0	980.0	2784.0	537.0	68.0	3671.0	349.0	3389.0	274.0	1716.0	4060.0	314.0	6179.0	3253.0	7646.0	2789.0	3607.0	6982.0	775.0	95.0	230.0	4481.0	4707.0	555.0	256.0	1894.0	452.0	129.0	5325.0	6348.0	4587.0	367.0	463.0	3166.0	5571.0	6646.0	219.0	2241.0	4617.0	32.0	338.0	547.0	600.0	1048.0	2303.0	423.0	5330.0	2540.0	2417.0	7524.0	712.0	4382.0	7207.0	177.0	837.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	103.0	154.0	151.0	1357.0	0.0	633.0	0.0	8.0	911.0	0.0	7.0	361.0	3743.0	811.0	2207.0	7635.0	508.0	8722.0	392.0	54.0	78.0	5350.0	802.0	105.0	55.0	6994.0	6652.0	170.0	291.0	794.0	125.0	4563.0	2990.0	283.0	265.0	248.0	67.0	4407.0	108.0	7115.0	23.0	1246.0	8393.0	1177.0	1055.0	4809.0	1129.0	4940.0	659.0	28.0	1105.0	1263.0	35.0	410.0	148.0	148.0	636.0	2004.0	84.0	1294.0	2078.0	891.0	391.0	4870.0	211.0	3120.0	1.0	71.0	63.0	3457.0	2713.0	60.0	217.0	0.0	53.0	3769.0	45.0	14.0	27.0	45.0	41.0	4011.0	23.0	31.0	141.0	1579.0	6226.0	3.0	186.0	1241.0	676.0	7376.0	5602.0	1600.0	962.0	1550.0	571.0	117.0	2231.0	4128.0	1207.0	3458.0	246.0	1542.0	731.0	2079.0	426.0	3723.0	588.0	91.0	260.0	1661.0	248.0	20.0	6242.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	19.0	1.0	9.0	6.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	130.0	4.0	12.0	9.0	0.0	40.0	1434.0	27.0	21.0	460.0	0.0	0.0	2.0	10.0	6.0	0.0	12.0	15.0	6.0	741.0	13.0	7.0	0.0	0.0	2.0	13.0	0.0	4.0	11.0	94.0	0.0	4.0	14.0	26.0	6.0	6.0	0.0	4.0	0.0	4.0	6.0	14.0	0.0	42.0	118.0	9.0	59.0	26.0	7.0	1152.0	54.0	250.0	0.0	1273.0	28.0	1259.0	0.0	0.0	0.0	68.0	2.0	39.0	51.0	9.0	47.0	33.0	14.0	83.0	15.0	14.0	38.0	72.0	0.0	384.0	23.0	8.0	300.0	9.0	5.0	6.0	0.0	0.0	0.0	0.0	11.0	7.0	7.0	1234.0	5.0	15.0	14.0	235.0	8.0	104.0	11.0	10.0	321.0	174.0	61.0	96.0	8.0	4344.0	128.0	6.0	39.0	17.0	2.0	62.0	0.0	0.0	473.0	18.0	17.0	44.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	22.0	0.0	156.0	0.0	22.0	72.0	154.0	928.0	111.0	477.0	273.0	856.0	385.0	44.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__ST-12K33;g__ST-12K33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Finegoldia	584.0	12.0	12.0	198.0	0.0	1.0	45.0	0.0	65.0	229.0	0.0	18.0	29.0	46.0	64.0	114.0	0.0	0.0	130.0	322.0	0.0	49.0	0.0	811.0	13.0	38.0	0.0	2.0	111.0	33.0	62.0	0.0	0.0	9.0	0.0	219.0	10.0	2.0	9.0	6.0	3.0	0.0	10.0	0.0	25.0	185.0	384.0	2.0	78.0	3.0	0.0	198.0	0.0	2.0	102.0	103.0	117.0	60.0	0.0	48.0	0.0	75.0	0.0	98.0	0.0	43.0	4.0	14.0	16.0	25.0	110.0	57.0	10.0	0.0	58.0	6.0	1.0	96.0	120.0	2.0	3.0	0.0	573.0	1132.0	0.0	2.0	27.0	133.0	177.0	0.0	153.0	0.0	12.0	8.0	0.0	0.0	0.0	177.0	59.0	5.0	422.0	72.0	44.0	1.0	415.0	53.0	282.0	6.0	87.0	82.0	36.0	116.0	8.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	14.0	0.0	11.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	14.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	25.0	4.0	10.0	0.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	51.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0
