# Constructed from biom file
#OTU ID	SRR12228669	SRR12228670	SRR12228671	SRR12228672	SRR12228673	SRR12228674	SRR12228675	SRR12228677	SRR12228678	SRR12228679	SRR12228680	SRR12228681	SRR12228682	SRR12228683	SRR12228684	SRR12228685	SRR12228686	SRR12228687	SRR12228688	SRR12228689	SRR12228690	SRR12228691	SRR12228692	SRR12228693	SRR12228694	SRR12228695	SRR12228696	SRR12228698	SRR12228699	SRR12228700	SRR12228701	SRR12228702	SRR12228703	SRR12228704	SRR12228705	SRR12228706	SRR12228707	SRR12228709	SRR12228710	SRR12228711	SRR12228712	SRR12228713	SRR12228714
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	0.0	45.0	0.0	7.0	7.0	3.0	4.0	0.0	89.0	0.0	10.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	79.0	0.0	4.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	111.0	2.0	41.0	0.0	5.0	8.0	3.0	95.0	8.0	38.0	61.0	0.0	63.0	0.0	0.0	0.0	4.0	114.0	15.0	12.0	8.0	27.0	27.0	13.0	0.0	26.0	267.0	2.0	122.0	0.0	0.0	0.0	2.0	108.0	0.0	4.0	4.0	10.0	18.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.0	0.0	3.0	0.0	0.0	2.0	10.0	3.0	0.0	5.0	6.0	1.0	6.0	29.0	2.0	3.0	0.0	10.0	0.0	12.0	0.0	0.0	66.0	10.0	27.0	87.0	29.0	9.0	28.0	26.0	50.0	0.0	13.0	21.0	5.0	0.0	15.0	60.0	39.0	58.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	0.0	123.0	0.0	15.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	0.0	24.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	52.0	5.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	70.0	0.0	0.0	26.0	0.0	0.0	24.0	0.0	0.0	0.0	4.0	7.0	0.0	452.0	0.0	0.0	5.0	0.0	97.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella	0.0	18.0	0.0	359.0	29.0	602.0	4.0	1494.0	13.0	44.0	19.0	386.0	325.0	1080.0	797.0	187.0	1795.0	366.0	0.0	0.0	349.0	1272.0	205.0	0.0	40.0	123.0	14.0	889.0	332.0	38.0	195.0	851.0	67.0	44.0	248.0	1540.0	1701.0	25.0	52.0	277.0	17.0	7.0	35.0
d__Bacteria;p__Proteobacteria;__;__;__;__	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Luteitalea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	21.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	36.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
