# Constructed from biom file
#OTU ID	SRR23072974	SRR23072976	SRR23072977	SRR23072978	SRR23072979	SRR23072980	SRR23072981	SRR23072982	SRR23072983	SRR23072984	SRR23072985	SRR23072986	SRR23072987	SRR23072988	SRR23072989	SRR23072990	SRR23072991	SRR23072992	SRR23072993	SRR23072994	SRR23072995	SRR23072996	SRR23072997	SRR23072998	SRR23073000	SRR23073001	SRR23073002	SRR23073003	SRR23073004	SRR23073005	SRR23073006	SRR23073007	SRR23073008	SRR23073009	SRR23073010	SRR23073011	SRR23073012	SRR23073013	SRR23073014	SRR23073015	SRR23073016	SRR23073017	SRR23073018	SRR23073020	SRR23073021	SRR23073022	SRR23073023	SRR23073024	SRR23073025	SRR23073026	SRR23073027	SRR23073028	SRR23073029	SRR23073030	SRR23073034	SRR23073035	SRR23073036	SRR23073037	SRR23073038	SRR23073039	SRR23073040	SRR23073044	SRR23073045	SRR23073046	SRR23073048	SRR23073049	SRR23073050	SRR23073052	SRR23073053	SRR23073054	SRR23073055	SRR23073057	SRR23073058	SRR23073059	SRR23073060	SRR23073062	SRR23073063	SRR23073064	SRR23073065	SRR23073066	SRR23073067	SRR23073068	SRR23073069	SRR23073070	SRR23073071	SRR23073073	SRR23073074	SRR23073076	SRR23073077	SRR23073078	SRR23073079	SRR23073080	SRR23073081	SRR23073082	SRR23073083	SRR23073084	SRR23073085	SRR23073086	SRR23073087	SRR23073088	SRR23073089	SRR23073090	SRR23073092	SRR23073093	SRR23073094	SRR23073096	SRR23073097	SRR23073098	SRR23073099	SRR23073100	SRR23073101	SRR23073102	SRR23073105	SRR23073107	SRR23073108	SRR23073109	SRR23073111	SRR23073112	SRR23073113	SRR23073114	SRR23073115	SRR23073116	SRR23073119	SRR23073120	SRR23073121
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.0	143.0	340.0	0.0	0.0	0.0	0.0	484.0	69.0	103.0	26.0	45.0	0.0	0.0	257.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	46.0	0.0	135.0	119.0	0.0	139.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	209.0	319.0	0.0	122.0	0.0	0.0	111.0	1.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	68.0	119.0	95.0	0.0	52.0	777.0	0.0	0.0	420.0	0.0	102.0	0.0	170.0	254.0	14.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	797.0	63.0	118.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	191.0	0.0	106.0	0.0	0.0	0.0	0.0	317.0	29.0	665.0	70.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacteriaceae	58.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.0	0.0	190.0	0.0	0.0	103.0	412.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	6.0	0.0	0.0	119.0	0.0	159.0	0.0	0.0	371.0	229.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	57.0	0.0	33.0	0.0	0.0	108.0	0.0	52.0	189.0	38.0	0.0	0.0	769.0	123.0	0.0	214.0	0.0	0.0	0.0	0.0	0.0	333.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	282.0	518.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	85.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__UCG-004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	526.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;__;__;__;__	0.0	0.0	0.0	0.0	3460.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1036.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	679.0	0.0	0.0	935.0	1312.0	0.0	0.0	0.0	0.0	0.0	3775.0	0.0	0.0	77.0	0.0	0.0	717.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5702.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	694.0	0.0	832.0	84.0	26.0	148.0	0.0	0.0	732.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	1753.0	904.0	1571.0	0.0	0.0	1850.0	2646.0	3184.0	5790.0	6487.0	2200.0	5865.0	5774.0	2034.0	1460.0	1175.0	0.0	2359.0	1525.0	2012.0	1683.0	746.0	1862.0	0.0	209.0	1505.0	4555.0	1772.0	3372.0	0.0	7201.0	2036.0	0.0	1470.0	0.0	0.0	1494.0	312.0	2827.0	178.0	827.0	4560.0	130.0	9167.0	0.0	911.0	2612.0	576.0	110.0	21.0	4576.0	612.0	66.0	541.0	1375.0	625.0	436.0	613.0	1687.0	1048.0	119.0	1559.0	4410.0	970.0	395.0	808.0	2527.0	1076.0	160.0	3005.0	1586.0	273.0	42.0	8442.0	1318.0	1809.0	212.0	332.0	0.0	397.0	995.0	934.0	1289.0	1565.0	0.0	1073.0	1259.0	70.0	1416.0	2160.0	5668.0	2750.0	896.0	1976.0	1502.0	4356.0	1245.0	2324.0	5107.0	167.0	0.0	3365.0	691.0	1481.0	3866.0	1440.0	0.0	4609.0	0.0	0.0	572.0	4315.0	858.0	1566.0	2108.0	653.0	210.0	130.0	0.0	2303.0	1001.0	470.0	2585.0	4025.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
