# Constructed from biom file
#OTU ID	SRR15091352	SRR15091353	SRR15091354	SRR15091355	SRR15091356	SRR15091357	SRR15091358	SRR15091359	SRR15091360	SRR15091363	SRR15091364	SRR15091365	SRR15091366	SRR15091367	SRR15091368
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.0	0.0	0.0	62.0	9.0	0.0	4.0	27.0	0.0	0.0	0.0	80.0	0.0	552.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	909.0	1900.0	0.0	309.0	0.0	654.0	0.0	9.0	258.0	866.0	248.0	0.0	261.0	67.0	84.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	3577.0	327.0	153.0	47.0	18.0	163.0	30.0	0.0	451.0	505.0	657.0	2.0	783.0	330.0	64.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas	20.0	49.0	0.0	8.0	10.0	0.0	0.0	0.0	66.0	20.0	0.0	0.0	16.0	9.0	2.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0.0	0.0	0.0	45.0	29.0	0.0	13.0	94.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058	0.0	0.0	14.0	0.0	0.0	438.0	0.0	0.0	0.0	7.0	3.0	7.0	2.0	20.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	1216.0	4244.0	101.0	145.0	0.0	127.0	0.0	7.0	436.0	669.0	2497.0	0.0	3888.0	94.0	199.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales	2.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia	26.0	0.0	8036.0	14.0	0.0	761.0	0.0	0.0	0.0	22.0	9.0	753.0	388.0	0.0	78.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	103.0	797.0	74.0	1054.0	7.0	859.0	0.0	0.0	247.0	137.0	251.0	0.0	747.0	22.0	82.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	0.0	0.0	4.0	561.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	30.0	0.0	236.0	2310.0	5913.0	1841.0	14648.0	14547.0	6.0	11.0	0.0	1199.0	26.0	7.0	3557.0
