# Constructed from biom file
#OTU ID	SRR7234756	SRR7234757	SRR7234759	SRR7234761	SRR7234762	SRR7234763	SRR7234764	SRR7234766	SRR7234767	SRR7234768	SRR7234770	SRR7234771	SRR7234773	SRR7234775	SRR7234776	SRR7234777	SRR7234778	SRR7234780	SRR7234781	SRR7234782	SRR7234783	SRR7234784	SRR7234787	SRR7234788	SRR7234789	SRR7234790	SRR7234791	SRR7234792	SRR7234793	SRR7234795	SRR7234796	SRR7234797	SRR7234798	SRR7234799	SRR7234800	SRR7234801	SRR7234802	SRR7234803	SRR7234804	SRR7234805	SRR7234806	SRR7234807	SRR7234809	SRR7234810	SRR7234811	SRR7234812	SRR7234813	SRR7234814	SRR7234816	SRR7234817	SRR7234818	SRR7234819	SRR7234820	SRR7234821	SRR7234822	SRR7234824	SRR7234826	SRR7234827	SRR7234829	SRR7234830	SRR7234831	SRR7234832	SRR7234833	SRR7234834	SRR7234835	SRR7234837	SRR7234838	SRR7234840	SRR7234841	SRR7234842	SRR7234844	SRR7234845	SRR7234847	SRR7234848	SRR7234849	SRR7234851	SRR7234852	SRR7234854	SRR7234855	SRR7234856	SRR7234857	SRR7234859	SRR7234862	SRR7234863	SRR7234864	SRR7234865	SRR7234867	SRR7234868	SRR7234869	SRR7234871	SRR7234872	SRR7234873	SRR7234874	SRR7234875	SRR7234877	SRR7234878	SRR7234879	SRR7234880
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	899.0	17799.0	20447.0	9574.0	5125.0	9799.0	80763.0	18151.0	4476.0	59310.0	3486.0	50153.0	6338.0	24523.0	15178.0	12208.0	33055.0	36051.0	1248.0	7938.0	10739.0	821.0	1637.0	4422.0	51146.0	4070.0	14943.0	191734.0	255.0	9978.0	21383.0	4067.0	9368.0	7515.0	71742.0	19957.0	33250.0	143202.0	70196.0	11095.0	94479.0	4727.0	5220.0	68591.0	22000.0	12650.0	51956.0	40538.0	11058.0	31381.0	20780.0	32458.0	17728.0	115.0	4215.0	23417.0	38213.0	12435.0	8668.0	209513.0	10931.0	54084.0	8863.0	109.0	31481.0	59768.0	324.0	2961.0	538.0	15595.0	244.0	81640.0	50717.0	108333.0	163.0	18181.0	7190.0	35079.0	9768.0	0.0	6771.0	4270.0	1059.0	90134.0	104923.0	52506.0	6661.0	91587.0	42386.0	111092.0	58709.0	3235.0	102.0	56284.0	289.0	60484.0	11043.0	10304.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Kingella	0.0	510.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	114.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	285.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	41.0	20.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	0.0	226.0	0.0	0.0	9.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	82.0	0.0	0.0	35.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	20.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	11.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	9.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	36.0	77.0	0.0	0.0	0.0	24.0	123.0	0.0	120.0	149.0	0.0	0.0	218.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__	0.0	5004.0	22.0	1860.0	0.0	915.0	0.0	14188.0	0.0	1894.0	0.0	27970.0	275.0	0.0	1980.0	551.0	118.0	707.0	1149.0	664.0	9618.0	0.0	0.0	921.0	0.0	0.0	2618.0	675.0	0.0	429.0	6624.0	395.0	24425.0	2216.0	0.0	546.0	330.0	14115.0	260.0	22895.0	140.0	0.0	492.0	0.0	740.0	401.0	0.0	1220.0	4189.0	126.0	0.0	0.0	389.0	32.0	49989.0	0.0	0.0	2236.0	1638.0	921.0	202.0	0.0	0.0	0.0	878.0	0.0	8936.0	84.0	295.0	32045.0	337.0	0.0	990.0	1528.0	905.0	622.0	668.0	6545.0	0.0	2462.0	120.0	3769.0	3300.0	194.0	0.0	6438.0	0.0	582.0	0.0	0.0	95.0	244.0	1221.0	0.0	124.0	965.0	1555.0	64.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	318.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	117.0	0.0	0.0	0.0	183.0	0.0	180.0	67.0	0.0	0.0	165.0	0.0	267.0	0.0	55.0	0.0	0.0	0.0	557.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	331.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.0	88.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	241.0	0.0	0.0	54.0	0.0	0.0	0.0	19.0	9.0	132.0	166.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	171.0	77.0	0.0	21.0	0.0	0.0	0.0	218.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371.0	0.0	63.0	0.0	0.0	0.0	0.0	522.0	306.0	0.0	15.0	0.0	18.0	0.0	0.0	44.0	81.0	0.0	0.0	24.0	0.0	476.0	28.0	463.0	139.0	21.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	10.0	55.0	0.0	174.0	102.0	157.0	0.0	0.0	185.0	34.0	0.0	0.0	28.0	0.0	0.0	20.0	41.0	0.0	101.0	6.0	258.0	52.0	0.0	270.0	0.0	0.0	0.0	0.0	233.0	62.0	240.0	177.0	0.0	76.0	0.0	109.0	0.0	0.0	0.0	153.0	0.0	289.0	101.0	100.0	26.0	277.0	0.0	191.0	0.0	139.0	114.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	32.0	56.0	0.0	0.0	0.0	0.0	150.0	156.0	0.0	0.0	0.0	0.0	0.0	19.0	88.0	0.0	72.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	17.0	59.0	23.0	0.0	33.0	0.0	194.0	0.0	9.0	44.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
