# Constructed from biom file
#OTU ID	ERR4183765	ERR4183788	ERR4183824	ERR4183843	ERR4183852	ERR4183899	ERR4183917	ERR4183940	ERR4183951	ERR4183953	ERR4183959	ERR4183965
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	0.0	17.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	0.0	0.0	0.0	0.0	5.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.0	0.0	0.0	0.0	0.0	1.0	25.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	328.0	252.0	134.0	146.0	988.0	139.0	301.0	384.0	183.0	1180.0	319.0	583.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	18.0	10.0	2.0	0.0	8.0	265.0	0.0	24.0	3.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum	1030.0	0.0	927.0	1530.0	730.0	1607.0	1542.0	1564.0	956.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;__	8.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;__;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus	84.0	264.0	19.0	24.0	25.0	63.0	56.0	74.0	12.0	73.0	619.0	129.0
d__Bacteria;p__Cyanobacteria;__;__;__;__	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Microcoleus_SAG_1449-1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	43.0	62.0	0.0	0.0	30.0	0.0
