# Constructed from biom file
#OTU ID	SRR27370631	SRR27370632	SRR27370633	SRR27370635	SRR27370636	SRR27370637	SRR27370638	SRR27370639	SRR27370640	SRR27370641	SRR27370642	SRR27370643	SRR27370644	SRR27370646	SRR27370647	SRR27370648	SRR27370649	SRR27370650	SRR27370651	SRR27370652	SRR27370653	SRR27370654	SRR27370655	SRR27370657	SRR27370658	SRR27370659	SRR27370660	SRR27370661
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	47.0	0.0	488.0	0.0	243.0	82.0	0.0	0.0	0.0	371.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	24.0	0.0	625.0	0.0	0.0	0.0	840.0	0.0	305.0	0.0	561.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004	0.0	0.0	491.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	314.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group	0.0	0.0	218.0	0.0	49.0	0.0	0.0	281.0	0.0	0.0	131.0	29.0	258.0	0.0	0.0	1201.0	59.0	1444.0	0.0	0.0	0.0	79.0	27.0	567.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium	0.0	0.0	0.0	0.0	0.0	735.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	12.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	102.0	15.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Craurococcus-Caldovatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	566.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	15629.0	252.0	6901.0	17.0	288.0	11719.0	514.0	5295.0	2045.0	4754.0	6859.0	573.0	5848.0	216.0	448.0	145.0	19.0	147.0	0.0	446.0	567.0	201.0	468.0	126584.0	1064.0	698.0	721.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	0.0	193.0	0.0	0.0	47.0	0.0	0.0	220.0	0.0	18.0	0.0	69.0	236.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Atopostipes	5.0	17.0	1339.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	1358.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group	34.0	0.0	415.0	0.0	0.0	0.0	160.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	909.0	192.0	56.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Gven-F17;g__Gven-F17	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus	0.0	6371.0	201.0	5506.0	750.0	0.0	1841.0	94.0	7964.0	0.0	0.0	2070.0	7582.0	3741.0	0.0	17.0	1254.0	0.0	8719.0	4050.0	10217.0	139.0	1059.0	0.0	625.0	0.0	735.0	950.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__	0.0	0.0	52.0	0.0	103.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0.0	0.0	127.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	270.0	21.0	0.0	0.0	541.0	51.0	126.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix	0.0	0.0	566.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group	0.0	0.0	531.0	0.0	0.0	198.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3074.0	169.0	591.0	0.0	0.0	0.0	0.0	0.0	0.0	245.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	0.0	47.0	795.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	39.0	55.0	0.0	0.0	0.0	0.0	946.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.0	0.0	0.0	0.0
