# Constructed from biom file
#OTU ID	SRR15147330	SRR15147331	SRR15147332	SRR15147333	SRR15147336	SRR15147338	SRR15147339	SRR15147340	SRR15147341	SRR15147343	SRR15147344	SRR15147346	SRR15147347	SRR15147349	SRR15147350	SRR15147351	SRR15147352	SRR15147353	SRR15147355	SRR15147356	SRR15147357	SRR15147358	SRR15147359	SRR15147360	SRR15147361	SRR15147363	SRR15147364	SRR15147366	SRR15147367	SRR15147368	SRR15147369	SRR15147370	SRR15147371	SRR15147372	SRR15147373	SRR15147374	SRR15147375	SRR15147376	SRR15147379	SRR15147380	SRR15147381	SRR15147382	SRR15147383	SRR15147384	SRR15147385	SRR15147386	SRR15147387	SRR15147388	SRR15147389	SRR15147390	SRR15147391	SRR15147392	SRR15147393	SRR15147394	SRR15147395
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	0.0	81.0	152.0	271.0	0.0	0.0	0.0	192.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	433.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;__	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1133.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	729.0	4590.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36608.0	0.0	0.0	0.0	89.0	154.0	1938.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	2904.0	0.0	1001.0	251.0	75.0	0.0	280.0	294.0	3417.0	738.0	10357.0	4526.0	4778.0	8346.0	0.0	0.0	437.0	1074.0	120.0	203.0	25687.0	659.0	0.0	9959.0	627.0	0.0	0.0	13568.0	1794.0	3224.0	20398.0	0.0	0.0	159.0	14037.0	10520.0	246.0	956.0	1856.0	219.0	22018.0	3809.0	9874.0	651.0	5451.0	886.0	0.0	42.0	696.0	16159.0	11428.0	1735.0	2726.0	368.0	335.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__	0.0	0.0	0.0	0.0	131.0	0.0	137.0	0.0	0.0	0.0	0.0	0.0	345.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4736.0	134.0	0.0	0.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2616.0	130.0	1528.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;__	0.0	0.0	368.0	916.0	0.0	1266.0	696.0	484.0	805.0	2141.0	0.0	2699.0	493.0	0.0	783.0	0.0	612.0	96.0	653.0	0.0	0.0	0.0	0.0	1436.0	513.0	633.0	684.0	1199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	882.0	1742.0	818.0	0.0	0.0	0.0	640.0	195.0	0.0	0.0	0.0	0.0	0.0	467.0	1732.0	0.0	1095.0	1290.0	952.0	373.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	349.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	0.0	0.0	0.0	237.0	0.0	0.0	0.0	0.0	341.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	378.0	0.0	0.0	396.0	0.0	0.0	0.0	0.0	0.0	205.0	0.0	339.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2113.0	162.0	599.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	412.0	0.0	0.0	128.0	396.0	0.0
